Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
cabretta-golf-glove-3-pack-mens,Cabretta Leather Golf Glove 3-Pack — Men's ML,"<p>Three genuine cabretta leather golf gloves in men's ML — the consumable every golfer runs out of. Fresh cabretta for every 10 rounds.</p><h3>Details</h3><ul><li>Genuine cabretta leather palm and fingers</li><li>Three gloves — enough for 30-45 rounds</li><li>Men's ML (Medium-Large)</li><li>Perforated back panel for airflow</li><li>Adjustable velcro tab closure</li></ul>",WYX Golf Supply Co.,,Gloves,"golf glove,cabretta glove,golf gloves,mens golf glove,golf gifts for dad,under $35,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-CG3-001,80,shopify,15,deny,manual,32.00,,TRUE,TRUE,https://images.unsplash.com/photo-1594735308830-1e09e0d93f39?w=1200&h=900&fit=crop&q=80,1,Golf glove on hand during golf swing,Cabretta Golf Glove 3-Pack Men's | WYX Golf Supply Co.,Genuine cabretta leather golf glove 3-pack for men. Three gloves for 30-45 rounds of fresh grip. Under $35. Use WYX10 for 10% off.,active
microfiber-golf-towel-clip-on,Microfiber Golf Towel — Clip-On Carabiner 16x24,"<p>A 16x24" microfiber golf towel with a heavy-gauge carabiner clip. Dual-sided: waffle weave for clubs, smooth side for ball and grip.</p><h3>Details</h3><ul><li>Dual-sided microfiber — waffle weave + smooth</li><li>Heavy-gauge carabiner clip opens 1.5"</li><li>16x24" — large enough to hang open</li><li>Machine washable</li><li>Stays damp longer than terry cloth</li></ul>",WYX Golf Supply Co.,,Towels,"golf towel,microfiber towel,golf accessories,clip on towel,golf gifts for dad,under $20,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-MT-001,150,shopify,20,deny,manual,18.00,,TRUE,TRUE,https://images.unsplash.com/photo-1515191107209-c28698631303?w=1200&h=900&fit=crop&q=80,1,Golf towel hanging on golf bag,Golf Towel Clip-On Microfiber | WYX Golf Supply Co.,A 16x24" dual-sided microfiber golf towel with heavy-gauge carabiner clip. Hangs on any bag ring. Under $20. Use WYX10 for 10% off.,active
premium-golf-ball-mix-pack-12,Premium Golf Ball Mix Pack — 12 Urethane Tour Balls,"<p>12 premium urethane tour-grade golf balls reconditioned to USGA standards. Mix of Pro V1, Chrome Soft, TP5.</p><h3>Details</h3><ul><li>12 urethane-cover tour balls</li><li>Mix: Pro V1, Chrome Soft, TP5</li><li>No cuts, no cracks — cosmetic scratches only</li><li>USGA conforming</li><li>Resealable sleeve set</li></ul>",WYX Golf Supply Co.,,Golf Balls,"golf balls,premium golf balls,tour golf balls,golf gifts,golf gifts for dad,under $35,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-GB12-001,400,shopify,20,deny,manual,34.00,,TRUE,TRUE,https://images.unsplash.com/photo-1535131749006-b7f58c99034b?w=1200&h=900&fit=crop&q=80,1,Golf balls on green grass,Premium Golf Ball Mix Pack 12 | WYX Golf Supply Co.,12 premium urethane tour golf balls reconditioned to excellent play condition. Pro V1 Chrome Soft TP5. Under $35. WYX10 saves 10%.,active
dual-sided-golf-club-brush-groove-pick,Dual-Sided Golf Club Brush & Groove Pick,"<p>A dual-sided club brush with nylon bristle, brass wire side, and retractable groove pick — plus a carabiner clip to live on the bag permanently.</p><h3>Details</h3><ul><li>Dual sides: nylon bristle + brass wire</li><li>Retractable groove pick</li><li>Carabiner clip</li><li>Zinc alloy body</li><li>Works on all club types</li></ul>",WYX Golf Supply Co.,,Club Care,"golf club brush,groove pick,club care,golf accessories,golf bag accessories,golf gifts,under $20,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-CB-001,120,shopify,20,deny,manual,16.00,,TRUE,TRUE,https://images.unsplash.com/photo-1622396481328-9b1b78cdd9fd?w=1200&h=900&fit=crop&q=80,1,Golf club brush and groove tools,Golf Club Brush Groove Pick Dual-Sided | WYX Golf Supply Co.,A dual-sided golf club brush with brass wire nylon bristle retractable groove pick and carabiner clip. Attaches to any bag permanently. Under $20.,active
golf-laser-rangefinder-800-yard-slope,"Golf Laser Rangefinder — 800 Yard Slope-Compensating","<p>An 800-yard slope-compensating laser rangefinder with 6x magnification, pin-lock vibration confirmation, and a compact belt-clip case. Reads to the pin in under a second on any course.</p><h3>Details</h3><ul><li>800-yard range — reads flagstick to 400 yards in typical conditions</li><li>Slope compensation mode — gives adjusted yardage for elevation changes</li><li>Pin-lock vibration confirms you locked the flag, not the tree line</li><li>6x magnification with clear optic and diopter adjustment</li><li>Compact belt-clip neoprene case — fits the cart bag side pocket</li><li>Battery CR2 included — 8,000+ readings per battery</li></ul>",WYX Golf Supply Co.,,Golf Tech,"rangefinder,golf tech,laser rangefinder,golf trip,golf gifts for dad,golf gifts,under $120,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-LRF-001,280,shopify,10,deny,manual,119.00,,TRUE,TRUE,https://images.unsplash.com/photo-1535131749006-b7f58c99034b?w=1200&h=900&fit=crop&q=80,1,Golf laser rangefinder aimed at flagstick,"Golf Laser Rangefinder 800 Yard | Slope Mode | WYX Golf Supply Co.","An 800-yard slope-compensating golf laser rangefinder with pin-lock vibration 6x magnification and belt-clip case. Reads flags in under a second. Under $120.",active
golf-gps-watch-40000-courses,"Golf GPS Watch — 40,000+ Courses, 18-Hole Battery","<p>A dedicated golf GPS watch with 40,000+ preloaded courses worldwide, front/middle/back yardages on every hole, shot distance tracking, and a scorekeeping mode — no phone required on the course.</p><h3>Details</h3><ul><li>40,000+ preloaded courses — no download needed</li><li>Front, middle, and back yardage on every hole</li><li>Shot distance tracking — records each shot for post-round review</li><li>Scorekeeper mode — track score and stats through 18</li><li>18-hole battery on a single charge</li><li>Lightweight at 42g — IPX7 waterproof</li></ul>",WYX Golf Supply Co.,,Golf Tech,"golf watch,gps watch,golf gps,golf tech,golf trip,golf gifts for dad,golf gifts for men,golf gifts under $150,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-GPW-001,85,shopify,8,deny,manual,149.00,,TRUE,TRUE,https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?w=1200&h=900&fit=crop&q=80,1,GPS golf watch on wrist on golf course,"Golf GPS Watch | 40,000+ Courses | Shot Tracking | WYX Golf Supply Co.","Golf GPS watch with 40,000+ preloaded courses front/middle/back yardages shot tracking and 18-hole battery. No phone needed. Under $150. WYX10 saves 10%.",active
leather-golf-scorecard-holder-full-grain,"Leather Golf Scorecard Holder — Full-Grain with Pencil Loop","<p>A full-grain leather scorecard holder with a pencil loop, ball marker pocket, and a snap closure. Fits standard USGA scorecards and yardage books. The bag side-pocket upgrade that lasts a decade.</p><h3>Details</h3><ul><li>Full-grain vegetable-tanned leather — develops a patina with rounds</li><li>Pencil loop on the spine holds a standard golf pencil flat</li><li>Interior ball marker pocket — one marker always within reach</li><li>Snap closure keeps cards dry in light rain and cart wind</li><li>Fits standard USGA and course scorecards plus yardage books</li></ul>",WYX Golf Supply Co.,,Accessories,"scorecard holder,golf accessories,leather golf,golf gifts for dad,golf gifts,bag accessories,golf birthday gifts,under $40,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-SCH-001,120,shopify,15,deny,manual,38.00,,TRUE,TRUE,https://images.unsplash.com/photo-1624361172473-a02ba9b79d49?w=1200&h=900&fit=crop&q=80,1,Leather golf scorecard holder open on golf course,"Leather Golf Scorecard Holder | Full-Grain with Pencil | WYX Golf Supply Co.","A full-grain leather golf scorecard holder with pencil loop ball marker pocket and snap closure. Fits any USGA scorecard. The bag upgrade that lasts a decade. Under $40.",active
golf-shoe-travel-bag-ventilated-divider,"Golf Shoe Travel Bag — Ventilated with Divider","<p>A ventilated golf shoe travel bag with a center divider that keeps the right and left shoe separated, a mesh side panel that lets wet shoes breathe, and a top handle for throwing in the trunk.</p><h3>Details</h3><ul><li>Center divider separates shoes — no sole-to-upper scratching</li><li>Mesh side panel ventilation — wet spikes dry instead of mildewing</li><li>Wide-mouth zipper gives full access to both sides</li><li>Reinforced top handle and padded base</li><li>Fits standard golf shoes up to size 14 wide</li></ul>",WYX Golf Supply Co.,,Accessories,"golf shoe bag,golf travel,shoe bag,golf trip,bag accessories,golf accessories,golf gifts,under $30,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-STB-001,350,shopify,20,deny,manual,28.00,,TRUE,TRUE,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=1200&h=900&fit=crop&q=80,1,Golf shoe bag open showing divider and mesh panel,"Golf Shoe Travel Bag | Ventilated | WYX Golf Supply Co.","A ventilated golf shoe travel bag with center divider mesh side panel and wide-mouth zipper. Keeps spikes away from clothes in any trunk or travel bag. Under $30.",active
backyard-chipping-net-4-target-folding,"Backyard Chipping Net — 4-Target Folding Frame","<p>A 4-target folding chipping net for backyard and garage practice — four different-sized targets test trajectory and carry control, the powder-coated steel frame folds flat in under 60 seconds.</p><h3>Details</h3><ul><li>4 color-coded target pockets: 6 inch 12 inch 18 inch and 24 inch</li><li>Powder-coated steel frame stays rigid in wind</li><li>Folds flat in under 60 seconds — stores behind a door</li><li>Netted frame face catches shanks and skulls</li><li>5-foot width and 4-foot height</li></ul>",WYX Golf Supply Co.,,Training Aids,"chipping net,golf training aid,backyard golf,short game,golf practice,golf gifts for dad,golf gifts,under $50,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-BCN-001,1200,shopify,10,deny,manual,44.00,,TRUE,TRUE,https://images.unsplash.com/photo-1611676028867-89893e54c25c?w=1200&h=900&fit=crop&q=80,1,Golf chipping net in backyard garden setup,"Backyard Golf Chipping Net | 4-Target Folding | WYX Golf Supply Co.","A 4-target folding backyard chipping net with powder-coated steel frame. Color-coded targets from 6 to 24 inches. Folds flat in 60 seconds. Under $45. WYX10 saves 10%.",active
putting-alignment-mirror-folding-tour,"Putting Alignment Mirror — Folding, Tour-Standard","<p>A folding putting alignment mirror that shows eye position, shoulder line, and putter path simultaneously — the same tool used by tour coaches on the putting green. Folds to wallet size.</p><h3>Details</h3><ul><li>Eye line indicator shows whether eyes are directly over the ball</li><li>Shoulder line guides reveal open/closed shoulder alignment</li><li>Putter path channel confirms square face-to-path at impact</li><li>Folding acrylic mirror — fits in the bag pocket</li><li>Gate function catches the ball on center-face putts only</li></ul>",WYX Golf Supply Co.,,Training Aids,"putting mirror,alignment mirror,putting aid,training aid,golf practice,golf gifts for dad,golf gifts,under $35,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-PAM-001,180,shopify,20,deny,manual,32.00,,TRUE,TRUE,https://images.unsplash.com/photo-1574352245494-d9d4a645e73c?w=1200&h=900&fit=crop&q=80,1,Putting alignment mirror on practice putting green,"Putting Alignment Mirror | Folding Tour Standard | WYX Golf Supply Co.","A folding putting alignment mirror that checks eye position shoulder line and putter path simultaneously. Tour-standard. Folds to wallet size. Under $35. WYX10 saves 10%.",active
stainless-golf-flask-8oz-ball-marker-lid,"Stainless Steel Golf Flask — 8oz Hip Flask with Ball Marker Lid","<p>An 8oz brushed stainless steel golf hip flask with a threaded cap that doubles as a milled ball marker — fits flush in the cart bag side pocket, holds enough for the back nine.</p><h3>Details</h3><ul><li>8oz capacity — enough for 5-6 standard pours</li><li>Threaded cap unscrews to reveal a milled stainless ball marker</li><li>Brushed stainless exterior — no finish to chip or scratch in the bag</li><li>Leak-proof threaded seal</li><li>Slim profile fits every cart bag side pocket</li><li>Engraving-ready front panel</li></ul>",WYX Golf Supply Co.,,Accessories,"golf flask,golf accessories,golf gifts for men,golf bachelor party,golf gifts,golf trip,golf gifts under $40,under $40,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-GFL-001,250,shopify,15,deny,manual,36.00,,TRUE,TRUE,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=1200&h=900&fit=crop&q=80,1,Stainless steel golf flask with ball marker lid,"Golf Flask 8oz | Stainless Steel | Ball Marker Lid | WYX Golf Supply Co.","An 8oz brushed stainless golf flask with a ball marker threaded lid. Fits any cart bag pocket. Leak-proof. Engraving-ready. Under $40. WYX10 saves 10%.",active
night-golf-glow-ball-set-12-led-core,"Night Golf Glow Ball Set — 12 LED-Core Light-Up Golf Balls","<p>A 12-pack of LED-core light-up golf balls for night golf, twilight rounds, and backyard practice — each ball activates on impact and glows for 8+ minutes, visible from 100 yards.</p><h3>Details</h3><ul><li>12 LED-core balls in 4 colors: white red blue and green</li><li>Activates on impact — first hit turns on LED which glows 8+ minutes</li><li>Visible from 100+ yards in full darkness</li><li>Two-piece construction plays like a standard practice ball</li><li>Compatible with standard ball washers and retrievers</li></ul>",WYX Golf Supply Co.,,Golf Balls,"night golf,glow golf balls,light up golf balls,golf balls,golf gifts,golf bachelor party,golf trip,fun golf gifts,under $45,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-NGB-001,400,shopify,15,deny,manual,42.00,,TRUE,TRUE,https://images.unsplash.com/photo-1632926565162-2a9e4c31e63f?w=1200&h=900&fit=crop&q=80,1,Glowing LED golf balls in night golf setting,"Night Golf Glow Balls LED | 12 Pack Light-Up Golf Balls | WYX Golf Supply Co.","A 12-pack of LED-core light-up golf balls for night golf and twilight rounds — activates on impact glows 8+ minutes visible 100+ yards. Under $45. WYX10 saves 10%.",active
